Approach	PrunedMSM	PrunedMSM_DA	PMSMSearch with LB_Sorted	PMSMSearch with LB_Sorted2	DTW	PMSMSearch with Sakoe 1	PMSMSearch with Sakoe 5	PMSMSearch with Sakoe 10	PMSMSearch with Sakoe 20	PMSMSearch with Sakoe 50	PMSMSearch with LBKIm 5	PMSMSearch with LBKIm 10	PMSMSearch with LBKIm 20	PMSMSearch with LBKIm 50	PMSMSearch with LBSakoeTree5	PMSMSearch with LBSakoeTree10	PMSMSearch with LBSakoeTree20	PMSMSearch with LBSakoeTree50	PMSMSearch with Itakura 0.95	PMSMSearch with Itakura 0.9	PMSMSearch with Itakura 0.8	PMSMSearch with Itakura 0.5	PMSMSearch with LB_EDCost	PMSMSearch with LB_EDCost2	PMSMSearch with LB_EDCost3
Symbols	0.962814	0.962814	0.962814	0.962814	0.9497	0.876382	0.945729	0.955779	0.962814	0.962814	0.962814	0.962814	0.962814	0.962814	0.962814	0.962814	0.962814	0.962814	0.884422	0.912563	0.940704	0.959799	0.818090	0.960804	0.936683
SyntheticControl	0.976667	0.976667	0.976667	0.976667	0.9933	0.763333	0.906667	0.970000	0.976667	0.976667	0.976667	0.976667	0.976667	0.976667	0.976667	0.976667	0.976667	0.976667	0.793333	0.810000	0.826667	0.840000	0.976667	0.976667	0.976667
ToeSegmentation1	0.837719	0.837719	0.837719	0.837719	0.7719	0.732456	0.745614	0.811404	0.842105	0.837719	0.837719	0.837719	0.837719	0.837719	0.837719	0.837719	0.837719	0.837719	0.763158	0.767544	0.767544	0.798246	0.798246	0.837719	0.837719
ToeSegmentation2	0.953846	0.953846	0.953846	0.953846	0.8385	0.892308	0.915385	0.953846	0.969231	0.953846	0.953846	0.953846	0.953846	0.953846	0.953846	0.953846	0.953846	0.953846	0.892308	0.884615	0.946154	0.938462	0.938462	0.953846	0.953846
Trace	0.850000	0.850000	0.850000	0.850000	1	0.820000	0.850000	0.850000	0.850000	0.850000	0.850000	0.850000	0.850000	0.850000	0.850000	0.850000	0.850000	0.850000	0.820000	0.840000	0.870000	0.850000	0.810000	0.820000	0.850000
TwoLeadECG	0.878841	0.878841	0.878841	0.878841	0.9043	0.667252	0.877963	0.878841	0.878841	0.878841	0.878841	0.878841	0.878841	0.878841	0.878841	0.878841	0.878841	0.878841	0.773486	0.799824	0.816506	0.872695	0.736611	0.812994	0.869183
TwoPatterns	0.999500	0.999500	0.999500	0.999500	1	0.884000	0.994000	0.998750	0.999500	0.999500	0.999500	0.999500	0.999500	0.999500	0.999500	0.999500	0.999500	0.999500	0.879000	0.949500	0.987250	0.997500	0.997500	0.999500	0.999500
UWaveGestureLibraryAll	0.962032	0.962032	0.962032	0.962032	0.8917	0.948074	0.962032	0.959799	0.961753	0.962032	0.962032	0.962032	0.962032	0.962032	0.962032	0.962032	0.962032	0.962032	0.950028	0.954774	0.960916	0.957566	0.959799	0.962032	0.962032
UWaveGestureLibraryX	0.774707	0.774707	0.774707	0.774707	0.7275	0.723618	0.754886	0.773032	0.774149	0.774707	0.774707	0.774707	0.774707	0.774707	0.774707	0.774707	0.774707	0.774707	0.723339	0.734506	0.759911	0.772473	0.756002	0.773869	0.773590
UWaveGestureLibraryY	0.700726	0.700726	0.701005	0.701005	0.634	0.644333	0.693467	0.704913	0.700726	0.700726	0.700726	0.700726	0.700726	0.700726	0.700726	0.700726	0.700726	0.700726	0.647125	0.667225	0.686209	0.693188	0.676717	0.702122	0.698213
UWaveGestureLibraryZ	0.697934	0.697934	0.698213	0.698213	0.6583	0.645449	0.678392	0.699051	0.697097	0.697934	0.697934	0.697934	0.697934	0.697934	0.697934	0.697934	0.697934	0.697934	0.644612	0.661083	0.682300	0.694584	0.663037	0.690396	0.698492
Wafer	0.990915	0.990915	0.990915	0.990266	0.9799	0.993348	0.992213	0.991077	0.991077	0.990915	0.990915	0.990915	0.990915	0.990915	0.990915	0.990915	0.990915	0.990915	0.992375	0.993024	0.992862	0.989942	0.991564	0.990915	0.990591
Wine	0.648148	0.648148	0.648148	0.648148	0.5741	0.648148	0.648148	0.648148	0.648148	0.648148	0.648148	0.648148	0.648148	0.648148	0.648148	0.648148	0.648148	0.648148	0.648148	0.648148	0.666667	0.648148	0.648148	0.648148	0.648148
WordSynonyms	0.766458	0.766458	0.766458	0.766458	0.6489	0.611285	0.744514	0.769592	0.766458	0.766458	0.766458	0.766458	0.766458	0.766458	0.766458	0.766458	0.766458	0.766458	0.634796	0.691223	0.744514	0.747649	0.688088	0.764890	0.766458
Worms	0.584416	0.584416	0.584416	0.584416	0.5844	0.441558	0.519481	0.571429	0.597403	0.584416	0.584416	0.584416	0.584416	0.584416	0.584416	0.584416	0.584416	0.584416	0.428571	0.506494	0.506494	0.545455	0.545455	0.584416	0.597403
WormsTwoClass	0.688312	0.688312	0.688312	0.688312	0.6234	0.597403	0.649351	0.701299	0.701299	0.688312	0.688312	0.688312	0.688312	0.688312	0.688312	0.688312	0.688312	0.688312	0.571429	0.662338	0.662338	0.662338	0.675325	0.688312	0.701299
Yoga	0.870333	0.870333	0.870333	0.870333	0.8363	0.847667	0.874000	0.871667	0.870333	0.870333	0.870333	0.870333	0.870333	0.870333	0.870333	0.870333	0.870333	0.870333	0.858333	0.845000	0.869667	0.869667	0.774667	0.795333	0.870000
ACSF1	0.830000	0.830000	0.830000	0.830000	0.64	0.840000	0.830000	0.830000	0.830000	0.830000	0.830000	0.830000	0.830000	0.830000	0.830000	0.830000	0.830000	0.830000	0.840000	0.180000	0.830000	0.830000	0.830000	0.830000	0.830000
